DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,KNN,0.9983781010542343,0.9958236432018861,0.9972949612517443,0.9965577251288404,69,127
Danmini_Doorbell,gafgyt,RFR,0.9999751750161362,0.9999344385131816,0.9999600329742343,0.9999472352706003,1,2
Danmini_Doorbell,gafgyt,DTR,0.9999586250268937,0.9999248520312785,0.9998992574789141,0.9999120542819608,3,2
Danmini_Doorbell,gafgyt,ADB,0.9999751750161362,0.9999088533754633,0.9999856310828417,0.9999472379716858,0,3
Danmini_Doorbell,mirai,KNN,0.9986093355906437,0.9939346519707908,0.9954962951818089,0.9947140200243505,133,189
Danmini_Doorbell,mirai,RFR,0.9999956811664306,0.9999694413885833,0.9999976763963696,0.9999835584228483,0,1
Danmini_Doorbell,mirai,DTR,0.9999870434992917,0.9999083353703251,0.9999930291891088,0.9999506780538334,0,3
Danmini_Doorbell,mirai,ADB,0.9999870434992917,0.9999083353703251,0.9999930291891088,0.9999506780538334,0,3
Ecobee_Thermostat,gafgyt,KNN,0.9987831816990528,0.9954461508552326,0.9888795185343426,0.9921389094281522,95,35
Ecobee_Thermostat,gafgyt,RFR,0.9999625594368939,0.9997597227346635,0.9997597227346635,0.9997597227346635,2,2
Ecobee_Thermostat,gafgyt,DTR,0.9999531992961174,0.9995343983776174,0.9998652269354404,0.9996997528427656,1,4
Ecobee_Thermostat,gafgyt,ADB,0.999981279718447,0.9999902439024391,0.9997694790225911,0.9998798348388369,2,0
Ecobee_Thermostat,mirai,KNN,0.9992673020561696,0.9966453739399914,0.9882575666230394,0.992413829621968,101,26
Ecobee_Thermostat,mirai,RFR,0.9999884614497034,0.9997691064419303,0.9999940829452731,0.9998815680140222,0,2
Ecobee_Thermostat,mirai,DTR,0.9999884614497034,0.9997691064419303,0.9999940829452731,0.9998815680140222,0,2
Ecobee_Thermostat,mirai,ADB,0.9999942307248517,0.9998845265588914,0.9999970414726366,0.9999407773435598,0,1
Ennio_Doorbell,gafgyt,KNN,0.9980565145122107,0.9937401311370353,0.9963575286410845,0.9950442486063702,75,153
Ennio_Doorbell,gafgyt,RFR,0.9999573797042152,0.999942040774939,0.999840016854193,0.9998910219370897,4,1
Ennio_Doorbell,gafgyt,DTR,0.9999659037633721,0.9999128264452526,0.9999128264452526,0.9999128264452526,2,2
Ennio_Doorbell,gafgyt,ADB,0.9999232834675873,0.9998888579918269,0.9997188324978636,0.9998038261407562,7,2
B120N10_Baby_Mon,gafgyt,KNN,0.99816802046849,0.9975605374219387,0.9984712353954155,0.9980130050356903,26,269
B120N10_Baby_Mon,gafgyt,RFR,0.9999503191991455,0.9999347125743812,0.9999574252949088,0.9999460671695874,1,7
B120N10_Baby_Mon,gafgyt,DTR,0.9998633777976501,0.9998403322648817,0.9998630406975824,0.9998516847163653,8,14
B120N10_Baby_Mon,gafgyt,ADB,0.9999503191991455,0.9999309296864207,0.9999612117450836,0.9999460675779397,0,8
B120N10_Baby_Mon,mirai,KNN,0.9936036088138338,0.9941981960090529,0.9872517089708763,0.9906732881391883,1391,268
B120N10_Baby_Mon,mirai,RFR,0.9999922888593296,0.9999826256167905,0.9999950448687138,0.9999888350795383,0,2
B120N10_Baby_Mon,mirai,DTR,0.9999961444296648,0.9999913126574581,0.9999975224343569,0.999994417505103,0,1
B120N10_Baby_Mon,mirai,ADB,0.9999961444296648,0.9999913126574581,0.9999975224343569,0.999994417505103,0,1
737E_Security_Cam,gafgyt,KNN,0.9973501850235239,0.9940744608876827,0.9960096907778051,0.9950390948407616,122,221
737E_Security_Cam,gafgyt,RFR,0.9999536475514319,0.9998536799492757,0.9999724634222459,0.9999130606002736,0,6
737E_Security_Cam,gafgyt,DTR,0.9998918442866744,0.9997971172965183,0.9997971172965183,0.9997971172965183,7,7
