DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,FALSE-P,FALSE-N,Total Wrong Predictions
Philips_Baby_Monitor,gafgyt,RFR,10000,61,59,120
Philips_Baby_Monitor,gafgyt,DTR,10000,169,80,249
Philips_Baby_Monitor,gafgyt,ADB,10000,57,25,82
Philips_Baby_Monitor,gafgyt,KNN,20000,455,698,1153
Philips_Baby_Monitor,gafgyt,RFR,20000,34,62,96
Philips_Baby_Monitor,gafgyt,DTR,20000,61,67,128
Philips_Baby_Monitor,gafgyt,ADB,20000,42,53,95
Philips_Baby_Monitor,gafgyt,KNN,40000,163,496,659
Philips_Baby_Monitor,gafgyt,RFR,40000,17,51,68
Philips_Baby_Monitor,gafgyt,DTR,40000,67,60,127
Philips_Baby_Monitor,gafgyt,ADB,40000,24,30,54
Philips_Baby_Monitor,gafgyt,KNN,50000,96,425,521
Philips_Baby_Monitor,gafgyt,RFR,50000,3,75,78
Philips_Baby_Monitor,gafgyt,DTR,50000,11,70,81
Philips_Baby_Monitor,gafgyt,ADB,50000,0,36,36
Philips_Baby_Monitor,mirai,KNN,10,6521,147042,153563
Philips_Baby_Monitor,mirai,RFR,10,1,257,258
Philips_Baby_Monitor,mirai,DTR,10,252,26945,27197
Philips_Baby_Monitor,mirai,ADB,10,524,173,697
Philips_Baby_Monitor,mirai,KNN,50,18226,38122,56348
Philips_Baby_Monitor,mirai,RFR,50,1,58,59
Philips_Baby_Monitor,mirai,DTR,50,6844,6495,13339
Philips_Baby_Monitor,mirai,ADB,50,0,58,58
Philips_Baby_Monitor,mirai,KNN,100,7099,1787,8886
Philips_Baby_Monitor,mirai,RFR,100,1,61,62
Philips_Baby_Monitor,mirai,DTR,100,647,127,774
Philips_Baby_Monitor,mirai,ADB,100,0,58,58
Philips_Baby_Monitor,mirai,KNN,500,5564,1651,7215
Philips_Baby_Monitor,mirai,RFR,500,0,58,58
Philips_Baby_Monitor,mirai,DTR,500,0,58,58
Philips_Baby_Monitor,mirai,ADB,500,0,58,58
Philips_Baby_Monitor,mirai,KNN,1000,5616,1404,7020
Philips_Baby_Monitor,mirai,RFR,1000,0,58,58
Philips_Baby_Monitor,mirai,DTR,1000,0,58,58
Philips_Baby_Monitor,mirai,ADB,1000,0,58,58
Philips_Baby_Monitor,mirai,KNN,5000,4850,1936,6786
Philips_Baby_Monitor,mirai,RFR,5000,0,61,61
Philips_Baby_Monitor,mirai,DTR,5000,0,58,58
Philips_Baby_Monitor,mirai,ADB,5000,0,58,58
Philips_Baby_Monitor,mirai,KNN,10000,4642,961,5603
Philips_Baby_Monitor,mirai,RFR,10000,0,58,58
Philips_Baby_Monitor,mirai,DTR,10000,0,58,58
Philips_Baby_Monitor,mirai,ADB,10000,0,58,58
Philips_Baby_Monitor,mirai,KNN,20000,4273,1027,5300
Philips_Baby_Monitor,mirai,RFR,20000,0,55,55
Philips_Baby_Monitor,mirai,DTR,20000,0,55,55
Philips_Baby_Monitor,mirai,ADB,20000,0,55,55
Philips_Baby_Monitor,mirai,KNN,40000,3408,1486,4894
