DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,mirai,ADB,5000,380,0.9999,0.999,0.9999,0.9995,0,99
Danmini_Doorbell,mirai,KNN,10000,760,0.9973,0.9944,0.9858,0.9901,1349,431
Danmini_Doorbell,mirai,RFR,10000,760,0.9999,0.9996,1.0,0.9998,0,42
Danmini_Doorbell,mirai,DTR,10000,760,0.9999,0.9997,0.9998,0.9997,20,28
Danmini_Doorbell,mirai,ADB,10000,760,0.9999,0.9997,0.9998,0.9997,20,27
Danmini_Doorbell,mirai,KNN,50000,3799,0.9975,0.9949,0.9892,0.992,957,367
Danmini_Doorbell,mirai,RFR,50000,3799,1.0,1.0,0.9999,1.0,6,0
Danmini_Doorbell,mirai,DTR,50000,3799,0.9999,1.0,0.9997,0.9998,29,0
Danmini_Doorbell,mirai,ADB,50000,3799,0.9999,1.0,0.9996,0.9998,36,1
Danmini_Doorbell,mirai,KNN,100000,7598,0.9973,0.9951,0.991,0.993,717,325
Danmini_Doorbell,mirai,RFR,100000,7598,1.0,0.9999,0.9999,0.9999,10,7
Danmini_Doorbell,mirai,DTR,100000,7598,0.9999,0.9998,0.9998,0.9998,17,14
Danmini_Doorbell,mirai,ADB,100000,7598,0.9999,0.9998,0.9996,0.9997,33,12
Danmini_Doorbell,mirai,KNN,200000,15196,0.997,0.9956,0.9931,0.9944,433,218
Danmini_Doorbell,mirai,RFR,200000,15196,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,mirai,DTR,200000,15196,1.0,1.0,1.0,1.0,1,0
Danmini_Doorbell,mirai,ADB,200000,15196,1.0,1.0,1.0,1.0,0,0
Philips_Baby_Monitor,gafgyt,KNN,10,6,0.82,0.8322,0.8589,0.8181,568,87240
Philips_Baby_Monitor,gafgyt,RFR,10,6,0.9811,0.9843,0.975,0.9793,8226,972
Philips_Baby_Monitor,gafgyt,DTR,10,6,0.9799,0.9831,0.9733,0.9779,8749,1075
Philips_Baby_Monitor,gafgyt,ADB,10,6,0.9585,0.9693,0.9424,0.9537,20078,166
Philips_Baby_Monitor,gafgyt,KNN,50,28,0.9665,0.9752,0.9534,0.9629,16316,0
Philips_Baby_Monitor,gafgyt,RFR,50,28,0.9847,0.9869,0.9798,0.9832,6524,962
Philips_Baby_Monitor,gafgyt,DTR,50,28,0.9844,0.9867,0.9796,0.983,6625,965
Philips_Baby_Monitor,gafgyt,ADB,50,28,0.9844,0.9867,0.9796,0.983,6625,965
Philips_Baby_Monitor,gafgyt,KNN,100,56,0.9661,0.9749,0.9528,0.9623,16534,0
Philips_Baby_Monitor,gafgyt,RFR,100,56,0.9978,0.9974,0.9977,0.9976,397,698
Philips_Baby_Monitor,gafgyt,DTR,100,56,0.9859,0.9887,0.9809,0.9846,6480,393
Philips_Baby_Monitor,gafgyt,ADB,100,56,0.9859,0.9887,0.9809,0.9846,6480,393
Philips_Baby_Monitor,gafgyt,KNN,500,280,0.9894,0.9904,0.9866,0.9884,4114,1044
Philips_Baby_Monitor,gafgyt,RFR,500,280,0.9974,0.9968,0.9976,0.9972,269,985
Philips_Baby_Monitor,gafgyt,DTR,500,280,0.9961,0.9958,0.9958,0.9958,942,933
Philips_Baby_Monitor,gafgyt,ADB,500,280,0.9964,0.9965,0.9956,0.996,1266,506
Philips_Baby_Monitor,gafgyt,KNN,1000,560,0.9904,0.9913,0.988,0.9896,3643,997
Philips_Baby_Monitor,gafgyt,RFR,1000,560,0.9987,0.9987,0.9985,0.9986,407,219
Philips_Baby_Monitor,gafgyt,DTR,1000,560,0.997,0.9975,0.9961,0.9968,1269,168
Philips_Baby_Monitor,gafgyt,ADB,1000,560,0.9935,0.9949,0.9912,0.993,3037,88
Philips_Baby_Monitor,gafgyt,KNN,5000,2802,0.9945,0.9945,0.9936,0.9941,1652,921
Philips_Baby_Monitor,gafgyt,RFR,5000,2802,0.9995,0.9994,0.9995,0.9995,95,135
Philips_Baby_Monitor,gafgyt,DTR,5000,2802,0.9991,0.999,0.999,0.999,211,215
