BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
gafgyt,KNN,0.9988179077308151,0.998885251372267,0.9970007807640306,0.9979400302424479,885,154
gafgyt,RFR,0.9999988622788555,0.9999993112985603,0.9999967308937083,0.9999980210905536,1,0
gafgyt,DTR,0.9999863473462655,0.9999814136440879,0.999971092340113,0.9999762529028107,8,4
gafgyt,ADB,0.9999772455771091,0.9999681623011543,0.9999526807014896,0.9999604213004226,13,7
mirai,KNN,0.9960268872468873,0.9928081384171855,0.9871625190895552,0.9899636840391911,3710,1709
mirai,RFR,0.9999978004542796,0.9999901900514041,0.9999987613695949,0.9999944756616144,0,3
mirai,DTR,0.9999978004542796,0.9999901900514041,0.9999987613695949,0.9999944756616144,0,3
mirai,ADB,0.9999992668180931,0.9999967299743631,0.9999995871231984,0.9999981585433488,0,1

